,text,target
494,"यूएई के दिग्गज बैंक एमिरेट्स एनबीडी की नई सेवा आरंभ होेने के बाद यह काम अब महज 60 सेकंड में संभव हो सकेगा।
",1
1619,"स्टेशन अधीक्षक पी एल चौहान ने बताया कि समय रहते आग बुझा दी गई थी अन्यथा कोई बड़ा हादसा हो सकता था।
",0
2137,"नाइटराइडर्स अब तक अपेक्षा के अनुरूप प्रदर्शन करने में असफल रही है।
",0
1295,"राव ने कहा कि आर्थिक स्लोडाउन और राज्य के हालात की वजह से कारोबार व इंडस्ट्री पर विपरीत प्रभाव पड़ा|
",0
744,"राष्ट्रीय टीम के साथ तीन मैचों की टेस्ट सीरीज खेलकर यूरोपीय माहौल से अभ्यस्त होगी
",1
159,"सरकार उसका पालन करने को बाध्य नहीं है।
",1
1814,"सतपाल सिंह हत्याकांड में आजीवन कारावास की सजा भुगत रहे है।
",0
1384,"किसान लाचार है।
",0
124,"मैं आइफा का आभारी हूं।
",1
1788,"इससे बैंक पहुंचे ग्राहक भटकने को मजबूर हुए।
",0
837,"यह कांग्रेस महासचिव का नितांत निजी मामला है।
",1
737,"एक्शन करने में वे कितने माहिर हैं इसका अंदाजा फिल्म हीरोपंती के ट्रेलर को देखने से लगाया जा सकता है.
",1
657,"हमें गरीबों की मदद करनी चाहिए
",1
910,"इसके साथ ही यह भी सुनिश्चित किया जाए कि दोबारा उस जगह अतिक्रमण जमने न पाएं।
",1
1541,"उन्होंने बैठक कर अधिकारियों पर आरोप लगाए और चेतावनी दी कि यदि शीघ्र ही भुगतान नहीं मिलता है तो वे चक्का जाम कर देंगे।
",0
1255,"आंखें बंद करके ध्यान लगाना धर्म नहीं है।
",0
2102,"उन्होंने कहा बावजूद इसके टेस्ट के लिए नहीं भेजा जाना चिंताजनक है।
",0
1758,"जब तक समुचित आईटी नेटवर्क सुनिश्चित नहीं किया जाएगा, तब तक जीएसटी पर अमल असंभव है।
",0
830,"पूरे मामले को गंभीरतापूर्वक लिया जा रहा है।
",1
1377,"उसके कारण बैंककर्मियों को हड़ताल जैसा कदम उठाने पर मजबूर होना पड़ा है।
",0
2170,"इससे पहले वो किंग्स इलेवन पंजाब के लिए खेलते थे मगर टीम ने उन्हें रीटेन नहीं किया।
",0
1644,"सलमान खान का आक्रामक रूप, कमसिन और खूबसूरत ऐश्वर्या को नागवार गुजरा और दोनों अलग हो गये।
",0
2237,"अगर वह भ्रष्टाचार से निपटने के लिए गंभीर होते तो शायद सरकार गिर जाती।
",0
962,"ह मेरी ईमानदारी के प्रति विश्वासी है, मुहँ खोलते ही उसने मुझे सौ रुपये निकाल कर दे दिए
",1
1916,"जिला पंचायत ने पत्र लिखकर इन गांवों के लिए पैसे न जारी करने कहा है।
",0
365,"10 वर्षों में इतनी तेजी से भवन निर्माण हुआ है कि शहर कंकरीट के जंगल में तबदील होती जा रहा हैं।
",1
241,"इसमें पहले की अपेक्षा वर्तमान में चार गुना लोड अधिक बढ़ गया है।
",1
1361,"व्यापारी इन डग्गामार बसों में यात्रा करने को विवश हैं जिससे समय और धन दोनों की बर्बादी हो रही है।
",0
122,"आस्ट्रेलियाई टीम जहां खिताबी हैट्रिक के लिए प्रयास करेगी वहीं इंग्लिश टीम दोबारा इस खिताब पर कब्जा जमाना चाहेगी.
",1
145,"कंपनी ने बताया कि नया स्कूटर अधिक शक्तिशाली एवं शीघ्र ही त्वरित गति पकड़ने में सक्षम है।
",1
11,"शहर क्षेत्र में मादक पदार्थो का कारोबार खूब फल फूल रहा है।
",1
514,"मैन आफ द मैच स्मिथ ने कोटला में ऐसी जबरदस्त बल्लेबाजी की जिसे दिल्ली वाले लंबे समय तक याद रखेंगे।
",1
776,"एजाज ने कई बार होस्ट रोहित शेट्टी को इम्प्रेस करने की कोशिश की थी 
",1
2040,"आलम यह है कि स्टेशनों में प्लेटपﾥार्म की ऊंचाई को सालों से जस का तस रखा गया है।
",0
856,"हमें आपसी भाईचारा और सौहार्द बनाए रखना चाहिए।
",1
13,"लोगों ने ऑफर व डिस्काउंट का भरपूर फायदा उठाया।
",1
1415,"बिना मान्यता वाली कोई भी डिग्री राज्य के शासकीय विभागों की भर्तियों में मान्य नहीं होगी।
",0
98,"उनके प्रोफाइल को फॉलो करने वाले लोगों की संख्या लगातार बढ़ती जा रही है.
",1
1850,"घायल अवस्था में पुलिस व्यापारी को अस्पताल ले गई, जहां बाद में उनकी मौत हो गई।
",0
2153,"लेकिन अधिकांश स्कूल अभी भी अपनी जिद पर अड़े हुए हैं।
",0
385,"फिल्मों में अपनी एक्टिंग से दर्शकों को दीवाना बनाने वाले रजनी अब सोशल साइट ट्विटर पर भी आ चुके हैं।
",1
2119,"लेकिन विपिन के आउट होने के बाद विकेट का पतन शुरू हो गया और रनों की रफ्तार पर भी ब्रेक लग गया।
",0
505,"कॉमरेड धनंजय तिवारी की विशेष रूचि और परिश्रम से यूपी बैंक ऐम्प्लॉईज ट्रस्ट भवन की स्थापना सम्भव हुई।
",1
943,"मनुष्य की इच्छित कामनाएँ हमेशा पूरी नहीं होतीं
",1
1917,"गिरने पर टूटने का खतरा ज्यादा  है।
",0
243,"पिछले वर्ष की अपेक्षा सोने के जेवर के दाम में कमी के कारण भी सराफा बाजार गुलजार रहा।
",1
2290,"सांद्र अम्ल वाष्पशील होते हैं
",0
2072,"नेपाल के शेरपाओं का गुस्सा जायज है और सरकार ने भी उनकी मांगों पर विचार करके अपनी संवेदनशीलता का परिचय दिया है.
",0
2013,"यह लोग न पानी खरीद कर पी सकते हैं और न ही बोतल या वाटर केन साथ लेकर चलने के अभ्यस्त होते हैं।
",0
1628,"सोनाली ने पुराने झगड़े की बात करते हुए ज़ोया से प्रोग्राम में ठीक से बर्ताव करने को कहा।
",0
1512,"स्वास्थ्य विभाग की टीम के लौट जाने के बाद ये मरीजों की जान के साथ खिलवाड़ करने लग जाते हैं,
",0
1098,"मैं आपकी बात मानता हूँ
",1
1846,"सूत्रों का कहना है कि वह पार्टी में बिल्कुल जश्न के मूड में दिखीं।
",0
672,"तुम में सच्चाई कहने की हिम्मत है। 
",1
1394,"संघ को सब्सिडी के तौर पर मिलने वाली मोटी धनराशि से भी वंचित होना पड़ेगा।
",0
375,"इसके डैंपर्स को भी बदला गया है ताकि राइड क्वॉलिटी बढ़िया हो।
",1
1133,"मुझे प्रकृति से अधिक आकर्षक और कुछ भी नहीं लगता है
",1
200,"तांबे यह कारनामा करनेवाले नौवें गेंदबाज बने
",1
922,"यह संस्था प्राकृतिक एवं मानवीय आपदाओं में मानवता की भलाई के लिए सदैव सहयोग के लिए प्रतिबद्ध है।
",1
1381,"किसान या तो सामूहिक आत्महत्या करने या खेती छोडऩे को मजबूर होंगे।
",0
151,"कंगना रनोट और राजकुमार राव की इस फिल्म को जबरदस्त रिस्पॉन्स मिला था
",1
804,"पूछताछ के बाद जब पारख ने कहा कि वो इस प्रॉसेस से संतुष्ट हैं।
",1
278,"विद्यालय के प्रधानाचार्य विजय प्रकाश सिंह ने कहा कि शैक्षिक उपकरणों व दृश्य ज्ञान से बच्चे आसानी से सीख जाते हैं और उसे भूलते नहीं हैं।
",1
753,"मुख्यमंत्री ने लोगों से इस पार्टी से होशियार रहने का आग्रह किया।
",1
947,"ईश्वर की अदृश्य शक्ति हर जगह विद्यमान है
",1
160,"टाटा मोटर्स का उपयोगी वाहन मोवस पेश.
",1
25,"इन दोनों नवोदित कलाकारों ने काफी सहज अभिनय किया है।
",1
1193,"उन्हें धरना देना पड़ा।
",0
1502,"प्राथमिक पाठशाला दलेलखेड़ा में वोट के लिए घरों से निकले वोटर में अनीश ने बोले कि किसी को बताना नहीं है।
",0
2243,"निर्देशक अमोल गुप्ते ने इस नब्ज पर हाथ रखने की कोशिश की है कि समाज में उनकी कोई पहचान नहीं, कोई नाम नहीं।
",0
1551,"सरकार ने उसका अनावश्यक फेवर किया.
",0
1395,"व्यापमं की बीएड प्रवेश परीक्षा लापरवाही ने सैकड़ों परीक्षार्थियों को परीक्षा से वंचित कर दिया।
",0
1104,"यह तर्कगम्य विषय है
",1
137,"यह फैसला एक मील का पत्‍थर साबित होगा।
",1
1582,"शाउमाशा जैतगिरी में जैसे ही टीम पहुंची नकलची छात्रों में अफरातफरी मच गई।
",0
355,"हम सभी को टूर्नामेंट को लेकर आश्वस्त रहना चाहिए।
",1
165,"नायर ने रहाणे और सैमसन के साथ पहले और दूसरे विकेट के लिए क्रमश: 52 और 53 रनों की दो उपयोगी साझेदारियां की।
",1
1195,"इस बात पर लक्ष्मीनगर की 80 महिलाओं ने शराब भट्टी की दुकान के आगे धरना देना शुरू कर दिया।
",0
2293,"आपका तर्क अकाट्य है
",0
844,"इसका मतलब है कि दुनिया में हर सात अति अमीर व्यक्तियों में से एक इन देशों का है।
",1
1464,"घायल दो लोगों को प्राथमिक उपचार के बाद रांची रेफर किया गया है.
",0
362,"महिंद्रा की मिसाल से कंपनियों के दिग्गज समूहों में परिवर्तित होने की प्रवृत्ति मजबूत बनी हुई है।
",1
984,"रकार ने कृषि संसाधनों को बढ़ाया है
",1
2366,"डायन ने मंत्र द्वारा राजकुमार को कुरूप बना दिया
",0
63,"इसलिए अभी रजिस्टर कीजिए और सबसे पहले जीतिए मेंबर मेडल।
",1
1143,"मेरा व्यवसाय ठीक-ठाक चल रहा है
",1
1856,"सलमान के खिलाफ लापरवाही से वाहन चलाने और अन्य आरोपों को लेकर मामला दर्ज किया था.
",0
1110,"इन औषधियों के उत्साहवर्धक परिणाम मिले हैं
",1
1706,"रैली से एक दिन पहले नरेंद्र मोदी के सुरक्षाकर्मी की हार्ट अटैक से मौत 
",0
315,"सरकार को घरेलू गैस के लिए पारदर्शी तरीके से कीमतें तय करने का पूरा अधिकार है और वह उसके स्रोतों जैसे अक्षय, शेल या सीबीएम से निरपेक्ष होनी चाहिए।
",1
1572,"उन्होंनेे कहा कि ऐसा नहीं है कि बसपा ने इस मुद्दे को कई बार जोरशोर से भी उठाया, लेकिन सभी प्रयास व्यर्थ गये।
",0
333,"इसका मुख्य कारण किए गए काम का आकलन करने में स्टाफ का सक्षम न होना है।
",1
227,"कार्यक्रम की शुरूआत ज्योत प्रज्वलित करके की गई।
",1
1657,"इधर, पिछला सप्ताह बॉक्स ऑफिस के लिए ठंडा रहा।
",0
1218,"एपल और सैमसंग के बीच पेटेंट के उल्लंघन की क़ानूनी लड़ाई चल रही है.
",0
1918,"यूरोपीय दौरे पर गई भारतीय हॉकी टीम को अपने लगातार दूसरे मैच में हार का सामना करना पड़ा
",0
885,"भीषण तपिश से लोगों ने राहत की सांस ली हलांकि यह मिजाज चार दिन की चांदनी साबित हुआ
",1
935,"अपनी मेहनत के बल पर उसने कम समय में अत्यधिक उन्नति की है
",1
1993,"संक्रमित पक्षी को आधा पका हुआ खाने से इंसानों को बर्ड फ्लू हो जाता है
",0
1517,"आएशा ने कहा कि शायद ये मजाक योजना बना कर की जा रही हो।
",0
201,"डेब्यू व लास्ट वनडे में सेंचुरी लगाने वाले दूसरे धुरंधर का कारनामा.
",1
566,"समृद्धि-संपदा प्राप्त करने का ये भी एक शालीन रास्ता है।
",1
1893,"यह वीडियो दुनिया को नम्र रहने का संदेश देती है और अमीर लोगों को भी सादगी से नहीं रहने का संदेश देती है।
",0
1047,"कांग्रेस यदि इस बार चुनावों के अपने अब तक के सबसे खराब प्रदर्शनको भी दोहरा सके तो उसे खुद को खुशकिस्मत समझना चाहिए।
",1
2026,"यहां अच्छी तरह विकसित पार्को में सफाई कर्मचारियों की लापरवाही साफ नजर आती है।
",0
1149,"दोनों देशों के बीच विश्वास बहाली के उपाय किए जा रहे हैं
",1
956,"वे इस आरोही दल की अगुवाई कर रहे हैं
",1
109,"उनके अलावा सलामी बल्लेबाज़ मुरली विजय ने भी तीस गेंदों पर 35 रनों का अहम योगदान दिया.
",1
606,"इस अवसर पर दिल्ली से आई चलित विज्ञान प्रदर्शनी लोगों के आकर्षण का केंद्र रही।
",1
530,"कई समाजों द्वारा इस अबूझ मुहूर्त से अधिकाधिक जोड़ों को लाभान्वित करने सामूहिक विवाह सम्मेलनों का आयोजन भी किया जा रहा है।
",1
1525,"जबकि मार्ग पर भीड़ लग जाने से आवागमन बंद हो गया।
",0
1124,"ख़ुदा ग़रीबनवाज़ है
",1
778,"उसके डॉयलग आज भी लोगो के जेहन में ताजा है।
",1
1515,"भूतनाथ के ऊपर सब हंसी ठिठोली कर रहे होते हैं।
",0
1493,"आरोप है कि उन लोगों ने पवन को उस महिला के साथ शारीरिक संबंध बनाने के लिए दवाब डालना शुरू कर दिया।
",0
590,"अमेरिका में अर्जित और वितरित आय पर कर दायित्व होगा।
",1
479,"इतना ही नहीं सोनाक्षी ने एक पोस्ट भी लिखा कि यह उनके लिए काफ़ी सुखद है।
",1
465,"वो एक उपयोगी गेंदबाज भी हैं और जानदार फील्डर भी।
",1
457,"पर्यावरण संरक्षण का संदेश देते हुए फूल, पत्तियों से कृतियों को सुंदर रूप दे रहे हैं।
",1
2343,"अप्रतिपन्न व्यक्ति को नौकरी से निकाल दिया गया है
",0
452,"यदि केंद्र में स्थायी सरकार सत्ता में आती है तो वे दोबारा निवेश करेंगे क्योंकि फिलहाल सरकारी बॉन्डों पर प्रतिफल काफी आकर्षक है।
",1
1359,"पीपरा वासी दो किलोमीटर दूर नदी का गंदा पानी पीने को विवश है
",0
2229,"इस वजह से दूसरे वास्तविक हकदार खिलाड़ियों का हक मारा गया अतः याचिका के जरिए हाईकोर्ट की शरण ली गई।
",0
1721,"  यूपीए का पूरा कार्यकाल दागदार |
",0
1669,"भारतीय चुनावी अभियान में सांठगांठ को इतने बड़े पैमाने पर जगह मिलना कुछ हैरत में डालता है और तब यह और अनपेक्षित हो जाता है
",0
339,"असल में सुनीता प्रोडक्शन में सक्रिय हैं और इससे जुड़े तमाम फैसले खुद ही लेती हैं।
",1
1749,"घायल अवस्था में पुलिस व्यापारी को अस्पताल ले गई, जहां बाद में उनकी मौत हो गई।
",0
1198,"पुलिस के लिए सुबूत तलाशना मुश्किल  है।
",0
515,"इसमें हीरो हीरोइन दमदार कैमेस्ट्री देखने को मिलेगी।
",1
1237,"हाल ही में दो एक्ट्रेस के बीच बात इतनी बढ़ गई कि थप्पड़ तक जड़ दिया।
",0
898,"अमोल गुप्ते की लिखी कहानी और पटकथा ईमानदार और साधारण हैं.
",1
1680,"मीडिया में उदय का मजाक उड़ना शुरू हो गया।
",0
44,"इसके साथ ही लंबे समय से इंतजार कर रहे स्ववित्त पोषित कॉलेजों के शिक्षकों को भी खुशखबरी मिलने की उम्मीद है।
",1
1683,"हालाकि ये बात सरासर झूठ निकली.
",0
1768,"उम्मीदवार चुनाव आयोग द्वारा तय किए गए खर्च की सीमाओं का पालन करते तो वे 3600 करोड़ से ज्यादा खर्च नहीं कर पाते, लेकिन यह आंकड़ा तो अब नामुमकिन लगता है।
",0
144,"तेल माफिया बेहद शक्तिशाली हैं।
",1
896,"जमानत का लाभ दिए जाने से समाज में गलत संदेश जाएगा अतः जमानत अर्जी रद्द किए जाने योग्य है।
",1
54,"रणवीर दिखावटी स्वभाव के हैं और मोहब्बत का दिखावा उन्हें बहुत पसंद है।
",1
2380,"अभयपत्र के बिना तुम्हें यहाँ से जाने नहीं दिया जाएगा
",0
1574,"लोगों का आरोप है कि रात में पुलिस गश्त नहीं होने से चोरों के हौसले बुलंद हैं और लगातार चोरी की वारदातें हो रही हैं।
",0
609,"पोलैंड की पैलेस ऑफ कल्चर एंड साइंस यहां का मुख्य पर्यटन आकर्षण है
",1
273,"पहली फिल्म से सफलता का स्वाद चखने वाली अनुष्का अब लाइम लाइट में रहना सीख गई हैं।
",1
2365,"कुपोषित महिला के गर्भ में पल रहा बच्चा अनेक रोगों का शिकार हो जाता है
",0
1345,"वर्तमान टैरिफ रेट को कायम रखना मुमकिन नहीं है।
",0
487,"उपभोक्ता बिना किसी परेशानी के पूरे देश में 3जी सेवाओं का अनंद उठा पाएंगे।
",1
2201,"आग पर काबू पाया अन्यथा गेहूं की फसल आग की भेंट चढ़ जाती।
",0
1555,"उम्मीद है कि उनके नेतृत्व में क्रिकेट का यह लुभावना संस्करण अनावश्यक विवादों से दूर रहेगा।
",0
504,"पोलार्ड और तारे ने असम्भव को सम्भव कर दिखाया था.
",1
404,"दोनों का किरदार काफी जोशीला है।
",1
1453,"शायद नयी पीढ़ी 1984 के दंगों के बारे में जानना भी न चाहे.
",0
284,"यहां बताना जरूरी है कि पहले बिल 60 दिन में एक बार आते थे।
",1
1031,"मैं पंचायत द्वारा स्वीकृत कार्य ही कर रहा हूँ
",1
2236,"राजन ने कहा कि मौद्रिक नीति तो वही तय करते हैं और अगर सरकार चाहे तो उन्हें हटा सकती है।
",0
2111,"उसकी हालत नाजुक है।
",0
1860,"नौकरी के दो साल बचे हैं तब उस पर लापरवाही का आरोप लगाया जा रहा है।
",0
215,"उन्होंने कहा कि एपीईडीए को कृषि उत्पादों के लिए प्रमाण पत्र देने का अधिकार प्राप्त है और यह सभी देशों के लिए मान्य है.
",1
2034,"अगर इसकी अनदेखी न की जाए तो तमाम महत्त्वपूर्ण देशों के साथ हमारे रिश्ते पर असर पड़ेगा।
",0
1943,"विक्की एकाएक उदास हो गया।
",0
791,"हम उनके कठिन परिश्रम और काम के प्रति लगन के लिए आभारी हैं।
",1
1432,"बाजारों में इतना अतिक्रमण है कि पैदल चलना भी दूभर है।
",0
456,"इस आश‍ियाने को सुंदर बनाने के लिये कैटरीना की टिप्स भी ली जा रही हैं।
",1
544,"वह मुलताई पुलिस के पास पहुंचा और सकुशल घर लौट आया।
",1
2101,"ऐसे में फिर से कैग द्वारा ऑडिट का फैसला काफी चिंताजनक है।
",0
1741,"उन्होंने कहा कि अगर बकाये का भुगतान नहीं किया जाता है तो एनटीपीसी बिजली आपूर्ति नहीं कर पाएगी.
",0
1380,"मजबूर होकर ही हड़ताल पर उतरना पड़ा है।]
",0
670,"विक्की भयभीत पर दृढ़ था 
",1
1711,"नाइजीरिया में हुए हमलों में 150 लोगों की मौत |
",0
2215,"दोनों ही फिल्मों को अलग बताते हुए तिग्मांशु ने कहा कि यद्यपि फिल्म बुलेट राजा ने अच्छा प्रदर्शन नहीं किया
",0
2130,"कुछ एक्सपो इतने सफल हुए कि 14 साल से होता आ रहा आईटीपीओ का शो फीका पड़ने लगा।
",0
1074,"कभी-कभी कुछ महत्वाकांक्षियों की अत्यधिक लालसा समाज के पतन में सहभागी हो जाती है
",1
1093,"वे अभिजात वर्ग के होकर भी बहुत विनम्र हैं
",1
1220,"इस साल आइपीएल में सर्वश्रेष्ठ बल्लेबाजों के बल्लों पर मानो जंग लग गई हो।
",0
461,"इसलिए उन्हें फिर से स्क्रीन पर देखना दर्शकों के लिए वाकई दिलचस्प होगा।
",1
2087,"यह हम दोनों के लिए बहुत ही बुरा समय था.
",0
1251,"व्यापारियों ने रविंद्र को घायल अवस्था में पड़े देखा तो वह उन्हें लहूलुहान हालत में अस्पताल ले गए।
",0
1756,"रिक्त सीटों की जानकारी नहीं आने तक यह मुमकिन नहीं है।
",0
2279,"बाजार में नये-नये उत्पाद आने के कारण प्रत्येक वस्तु का भाव मंदा हो गया है 
",0
82,"उन्हें हिन्दी ठीक से बोलने नहीं आती फिर भी उन्होंने बॉलीवुड में कदम रखा और हिंदी बोलना सीखा।
",1
240,"ग्रीन टी की अपेक्षा अनार में इन तत्वों की मात्रा अधिक होती है।
",1
22,"बालमन की पड़ताल वह सहज और वैज्ञानिक ढंग से करते हैं।
",1
798,"उन्होंने कहा कि वह भयभीत न हो और उनके साथ पूरा न्याय किया जाएगा।
",1
1320,"चांदनी चौक इलाके में नगर निगम कारोबारियों की दुकाने सील करने के पक्ष में बिलकुल नहीं है।
",0
314,"घरेलू' सीरीज का मतलब है कि पाकिस्तान अब तटस्थ स्थल पर भारत की मेजबानी कर सकता है
",1
785,"विदेशी में हुआ मीनल से प्यार.
",1
2094,"वह जस्टिन को ज्यादा से ज्यादा दुख पहुंचाना चाहती हैं, ठीक वैसे ही जैसे जस्टिन ने उन्हें दुखी किया था.
",0
1622,"लेकिन इस दौरान कहीं भी पुलिस का गश्ती दल सक्रिय नहीं दिखा।
",0
605,"मोबाइल फोन में सर्वश्रेष्ठ माना जाने वाला एपल आए दिन ऐसे डिवाइस लांच करता है जो मार्केट में कुछ हटकर अपनी छाप छोड़ते हैं।
",1
1833,"हद तो यह है कि कार्रवाई करने के बजाय कप्तान पूरे प्रकरण से ही अपने को अनभिज्ञ बता रहे हैं।
",0
136,"अपनी शादी बचाने के लिए विद्या हर मुमकिन कोशिश करेगी.
",1
563,"मैं अभी तक जितने लोगों से मिला हूं, वे उनमें से सबसे ज्यादा सभ्य लोगों में से एक है।
",1
1085,"माँ अपने बच्चे की पीठ सहला रही है
",1
107,"मैं ओलंपिक में स्वर्ण पदक जीतना चाहती हूं और मैं इसे हासिल करना चाहती हूं।
",1
1889,"पोलार्ड ने फुल लेंथ डिलिवरी पर कैलिस को गलती करने पर मजबूर कर दिया था, लेकिन मलिंगा ने आसान कैच टपकाकर खेल बिगाड़ दिया।
",0
1760,"बार्सिलोना के कप्तान जावी ने भी अब इस बात को मान लिया है कि उनकी टीम का छह साल में पांचवीं बार ला लीगा खिताब जीतना असंभव है।
",0
941,"कुनकुने जल से गरारा करने से गले की खराश चली जाती है
",1
810,"मेरी व्यक्गित जिंदगी सहज हो गई है।
",1
1178,"जहाँ अधिक वर्षा होती है वहाँ सदाबहार वन पाए जाते हैं
",1
1599,"इसमें लोगों को मच्छर जनित बीमारियों से बचाव के तरीके बताए गए।
",0
960,"आप एक विशिष्ट गँवई हैं
",1
338,"रजनीकांत अब जल्द ही सोशल माइक्रो ब्लॉगिंग साइट टि्वटर पर सक्रिय हो जाएंगे।
",1
1861,"जानकारी होने पर उन्होंने इस असावधानी पर कर्मचारी को हिदायत देने की बात कही।
",0
2071,"स्टार्क ने पोलार्ड के शरीर को निशाना बनाया, जिससे उन्हें गुस्सा आ गया और उन्होंने स्टार्क की ओर बल्ला फेंका।
",0
2048,"ये खौफ है इलेक्शन कमीशन की सख्ती की वजह से.
",0
268,"मुंबई इंडियंस की टीम इस समय उन सभी दिक्कतों का सामना कर रही है जिनसे कोई भी टीम बचना चाहती है।
",1
2154,"बारिश के मौसम में अधिकांश पानी यूं ही बह जाता है।
",0
1826,"जालसाज अब हाईटेक तरीके से लोगों को चूना लगा रहे हैं और उन्हें कंगाल बना रहे हैं।
",0
1059,"मोदी को देश का प्रधानमंत्री बनाने के लिए इस 'भाग्यशाली' सीट को जीतने के लिए अपनी ओर से पुरजोर कोशिशें की है।
",1
317,"यह सही नहीं है कि बोर्ड में सिर्फ 25 प्रतिशत निम्न ग्रैड के कर्मचारी है।
",1
1983,"लोकसभा चुनाव के लिए जिला निर्वाचन अधिकारी द्वारा अधिग्रहीत वाहनों को नियत समय से तय स्थान पर अनिवार्य रूप से उपलब्ध करा दें।
",0
523,"हालांकि प्रयोगात्मक विज्ञान और फिक्शन के बीच बहुत ही महीन रेखा का अंतर है.
",1
14,"चुनाव के बाद सुप्तकाल में चले गए बाजार को अक्षय तृतीया ने जगाने की भरपूर कोशिश की.
",1
263,"उन्होंने आगे कहा कि मैं साफ कर देना चाहता हूं कि हम राजस्थान में खिलाड़ियों का अहित नहीं होने देंगे।
",1
2252,"लेकिन पुलिस ने एक न सुनी।
",0
574,"इससे बच्चों का शारीरिक एवं मानसिक विकास होता है।
",1
673,"विक्की ने जो कुछ किया इसकी उसे बहुत खुशी थी।
",1
413,"भाजपा से छिटकने का उन्हे अपरोक्ष रूप से लाभ मिलने की उम्मीद है।
",1
410,"इसका फ़ायदा यह होता है कि इसको केवल यूज़र्स और इच्छित प्राप्तकर्ता ही समझ सकते हैं.
",1
1765,"जागरण संवाददाता, बरेली: उपभोक्ताओं को साल में बारह सिलिंडर मिलना नामुमकिन बात है।
",0
833,"इसमें सभी की सहभागिता नितांत आवश्यक है।
",1
1886,"जिला एवं सत्र न्यायाधीश श्री सिंह ने कहा कि नशा आदमी की मनोवृत्ति को बिगाड़ देता है।
",0
2172,"शीला चौथी पारी खेलने की कोशिश में चुनाव हारी हैं, मोदी मगर प्रधानमंत्री बनने की जुगत में हैं.
",0
1469,"उम्मीदवार के काफिले में शामिल वाहन की टक्कर से बच्चा जख्मी.
",0
693,"हमशकल्स में सैफ न केवल गुजराती बोलते नजर आएंगे बल्कि अपने किरदार में हास्य का तड़का भी लगाते नजर आएंगे.
",1
742,"पीएम प्रत्याशी नरेंद्र मोदी झूठ व फरेब की राजनीति करने में माहिर है
",1
1757,"उन्होंने कहा मैं जिस जगह पर हूं, वहां तक अकेले पहुंचना असंभव था.
",0
204,"जिसमें इस बीमारी के इलाज तथा इसकी प्रक्रिया को भी सत्यापित किया गया।
",1
725,"मार्शल आर्ट में निपुण छात्रा ने बदमाशों का डटकर विरोध कर संघर्ष किया।
",1
1175,"संतुष्टीकरण के अनेक लाभ हैं
",1
2249,"पूरे दिन कारोबार करने के बावजूद न तो सेंसेक्स कोई बढ़त बना सका और न ही निफ्टी।
",0
1449,"बीएचयू अस्पताल में पाया गया कि ठंडे तेल का अत्यधिक इस्तेमाल करने से आंखों की रोशनी पर असर पड़ रहा है।
",0
1664,"लखनऊ: देश में लगभग तीन करोड़ लोग दमा के रोगी हैं।
",0
1926,"बिहार में आरजेडी नेता की पीट-पीटकर हत्या 
",0
1050,"असल में मैं बड़ा खुशकिस्मत रहा कि मुझे बहुत से गुरु मिले सीखाने के लिए।
",1
17,"शेखर कपूर की अगली महत्वाकांक्षी फिल्म पानी है।
",1
656,"भारतीय खेलकूद क्षेत्र से सुनील सभरवाल की उम्‍मीदें 
",1
1851,"इसी दौरान पीछे से आए व्यापारियों ने रविंद्र को घायल अवस्था में पड़े देखा तो वह उन्हें लहूलुहान हालत में आस्था अस्पताल ले गए।
",0
214,"शुभ दिन और रोहिणी नक्षत्र का संयोग होने से यह महाफलदायी तिथि के रूप में मान्य है
",1
91,"बुधवार शाम एसएसपी डा. प्रीतिंदर सिंह ने व्यापारियों को सुरक्षा देने का वादा कर धरना खत्म करा दिया था।
",1
